source,clip,kind,release,material,licence,attribution,terms_accepted,terms_verified,redistributable,origin,roles
speech_commands_v0.02,,speech_commands_v2,v0.02,speech,CC-BY-4.0,"Warden, P. (2018). Speech Commands: A Dataset for Limited-Vocabulary Speech Recognition. arXiv:1804.03209. Creative Commons Attribution 4.0 International (CC BY 4.0). The full v0.02 release (105,829 clips, 35 keywords, official validation/testing lists); _background_noise_/ excluded",CC BY 4.0: attribution,2026-09-08,yes,"http://download.tensorflow.org/data/speech_commands_v0.02.tar.gz (public download, no account; place the tarball under archives/speech_commands_v0.02/)",train dev eval-speech
openslr_17_musan,,musan,SLR17,noise,CC-BY-4.0,"Snyder, D., Chen, G. & Povey, D. (2015). MUSAN: A Music, Speech, and Noise Corpus. arXiv:1510.08484. OpenSLR SLR17, CC BY 4.0; the noise partition (free-sound and sound-bible subsets), attributed per file from each subset's LICENSE; noise-sound-bible-0000 excluded (no attribution block upstream)",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug eval-noise
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0000,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0001,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0002,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0003,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0004,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",eval-noise
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0005,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0006,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
openslr_17_musan,openslr_17_musan/musan/noise/free-sound/noise-free-sound-0007,musan,SLR17,noise,public-domain,"All selected recordings were marked as in the Public Domain
on Free Sound (url: https://www.freesound.org/).",CC BY 4.0: attribution,2026-09-08,yes,"https://www.openslr.org/resources/17/musan.tar.gz (public download, no account; place musan.tar.gz under archives/openslr_17_musan/)",aug
